ID,Product Name,Price
1,mug,499.00
2,notebook,899.00
3,pen,299.00
4,pen and keychain,1100.00
5,pen key,950.00
8,sr 135 perfumo set wallet perfume pen cardholder,2999.00
9,sr 139 red elastic pen diary,799.00
10,sr 144 black mars pen diary,849.00
11,sr 238 pen keychain,699.00
12,sr 242 pen cardholder,899.00
13,sr 243 2 in 1 perfumes set male female perfumes,1899.00
14,sr 264 copper bottle mug sets blue500 ml copper bottle 2 mugs,3499.00
15,sr 294 hydrox black bottle pen keychain,2299.00
16,sr 295 hydrox white bottle pen keychain,2299.00
17,sr 140 red elastic pen diary,799.00
18,sr 145 black mars pen diary,849.00
19,sr 240 pen keychain,749.00
20,sr 247 pen cardholder,949.00
21,RC 4 Piece Cup Set C 144,1000.00
22,RC 4 Piece Cup Set C 145,880.00
23,RC Advocate Set with Dome keychain Kp 112 Black,200.00
24,RC Advocate Set with Metal keychain Kp 113 Black,240.00
25,RC Bolttle Cup Set BC 146,544.00
26,RC Bolttle Cup Set BC 147,544.00
27,RC Bottle Pen Keychain Set BPK 132,400.00
28,RC Bottle Pen Keychain Set BPK 133,360.00
29,RC Cardholder Pen Keychain Set Ckp 124,192.00
30,RC Cardholder Pen Keychain Set Ckp 125,216.00
31,RC Cardholder Pen Keychain Set Ckp 126,200.00
32,RC Cardholder Pen set Cp 117,144.00
33,RC Cardholder Pen set Cp 118,136.00
34,RC Cardholder Pen Set Cp 119,136.00
35,RC Cardholder Pen Set Cp 120 Silver,104.00
36,RC Cardholder Pen Set Cp 121 Black,144.00
37,RC Cardholder Pen Set Cp 122 Grey,160.00
38,RC Cardholder Pen Set Cp 123,160.00
39,RC CA Set with Dome Keychain Kp 114 Black,200.00
40,RC CA Set with Metal Keychain Kp 115 Black,240.00
41,RC Doctor set kp 110 Golden,240.00
42,RC Doctor set kp 111 Silver,200.00
43,RC Elastic Dairy D 201,120.00
44,RC Flora Pen Set Pf 127,240.00
45,RC Hector Pen Set PH 129,240.00
46,RC Jari Dairy D 202,192.00
47,RC Jari Pen Keychain Set Kp 116 Black,176.00
48,RC Magnetic Scale Pen Set Pm 130,288.00
49,RC Magnet Pen Stand 148,176.00
50,RC Organ Pen Set Po 128,416.00
51,RC Pen-Keychain Set PK 155,96.00
52,RC Pen-Keychain Set PK 156,96.00
53,RC Pen Keychain Cardholder Set PK 153,144.00
54,RC Pen Keychain Cardholder Set PK 154,272.00
55,RC Pen Keychain Set KP 101,75.00
57,RC Pen Keychain set kp 102,104.00
58,RC Pen Keychain set kp 103,120.00
59,RC Pen Keychain set kp 104,80.00
60,RC Pen Keychain set kp 105,72.00
61,RC Pen Keychain set kp 106 Crock,152.00
62,RC Pen Keychain set kp 107 Wooden,112.00
63,RC Pen Keychain set kp 108 Black,280.00
64,RC Pen Keychain set kp 109 Mettalic Golden,320.00
65,RC Pen Keychain Set PK-149,192.00
66,RC Pen Keychain Set PK 150,112.00
67,RC Pen Keychain Set PK 151,56.00
68,RC Pen Keychain Set PK 152,77.00
69,RC Thermos Cup Set Tc 131,1360.00
70,RC 2 in 1 Black Crock Diary Set DP 313,304.00
71,RC 2 in 1 Button Dairy Set DP 303,360.00
73,RC 2 in 1 Capsule Magnet Diary Set,352.00
77,RC 2 in 1 Crock Diary Set DP 312,288.00
78,RC 2 in 1 Elastic Diary Set DP 301,224.00
83,RC 2 in 1 Emboss Magnet  Diary-Set DP 310,384.00
85,RC 2 in 1 Flip Magnet Dairy Set DP 304,384.00
87,RC 2 in 1 Flip Slim Magnet Diary Set DP 317,400.00
89,RC 2 in 1 Golden Border Magnet Diary Set,352.00
93,RC 2 in 1 Jari Diary Set,352.00
96,RC 2 in 1 Magnet Diary Set DP 302,320.00
101,RC 2 in 1 Mobile Pocket Diary Set Dp 309,352.00
105,RC 2 in 1 Mobile Pocket Magnet Dairy Set DP 308,384.00
109,RC 2 in 1 Mobile Pouch with Button Diary Set DP 319,568.00
111,RC 2 in 1 Round Magnet Diary Set DP 306,352.00
114,RC 2 in 1 Slim Magnet Diary Set DP 314,352.00
116,RC 2 in 1 U Clip Magnet Diary Set DP 316,352.00
119,RC 2 in 1 Wooden Diary Set DP 311,272.00
120,RC 3 in 1 Capsule Magnet Diary Set DBP 406,600.00
122,RC 3 in 1 Capsule Magnet Diary with Keychain Set DKP 416,368.00
126,RC 3 in 1 Crock Diary with Keychain Set DKP 420,360.00
127,RC 3 in 1 Diary With Keychain & Cardholder Set DKP 421,336.00
132,RC 3 in 1 Elastic Diary Set DBP 402,464.00
136,RC 3 in 1 Elastic Diary with Flip Cup Set DCP 411,656.00
140,RC 3 in 1 Elastic Diary with Keychain Set DKP 413,288.00
145,RC 3 in 1 Elastic Diary with Sport Bottle Set DBP 403,560.00
149,RC 3 in 1 Golden Border Magnet Diary Set DBP 404,600.00
152,RC 3 in 1 Magnet Diary Set DBP 405,600.00
155,RC 3 in 1 Magnet Diary with Flip Cup Set DCP 412,720.00
158,RC 3 in 1 Magnet Diary with Keychain Set DKP 414,368.00
162,RC 3 in 1 Magnet Diary with Oval Cup Set DCP 410,680.00
163,RC 3 in 1 Mobile Pocket Magnet Diary with Keychain Set DKP 415,400.00
167,RC 3 in 1 Wooden Bottle Diary Set DBP 407,768.00
168,RC 3 in 1 Wooden Cup with Diary Set DCP 409,768.00
169,RC 3 in 1 Wooden Diary with Calender Set DLCP 419,480.00
170,RC 3 in 1 Wooden Diary with Glass Bottle Set DBP 408,560.00
171,RC 3 in 1 Wooden Diary with Keychain Set DKP 417 Wooden Natural,440.00
172,RC 4 in 1 Bottle Capsule Magnet Diary Set DBKP 507,680.00
174,RC 4 in 1 Bottle Cup Pen Keychain Set BCPK 517,480.00
175,RC 4 in 1 Bottle Elastic Diary Set DBKP 502,608.00
179,RC 4 in 1 Bottle Magnet Diary Set DBKP 504,680.00
182,RC 4 in 1 Bottle Mobile Pocket Diary Set DBKP 506,680.00
184,RC 4 in 1 Bottle Mobile Pocket Magnet Diary Set DBKP 505,720.00
186,RC 4 in 1 Bottle Pendrive Elastic Diary Set DBPP 513,880.00
190,RC 4 in 1 Bottle Round Magnet Diary Set DBKP 508,680.00
191,RC 4 in 1 Cardholder Button Diary Set DCPK 526,520.00
193,RC 4 in 1 Cardholder Elastic Diary Set DCPK 522,448.00
197,RC 4 in 1 Cardholder Jari Magnet Diary Set DCPK 529,520.00
199,RC 4 in 1 Cardholder Magnet Diary Set DCPK 523,512.00
201,RC 4 in 1 Cardholder Mobile Pocket Diary Set DCPK 525,520.00
203,RC 4 in 1 Cardholder Mobile Pocket Magnet Diary Set DCPK 524,560.00
206,RC 4 in 1 Cardholder Oval Cup Elastic Diary Pen Set DCPC 518,720.00
207,RC 4 in 1 Cardholder Pocket Diary Set DCPK 520,448.00
208,RC 4 in 1 Cardholder Pocket Diary Set DCPK 521,448.00
209,RC 4 in 1 Cardholder Slim Magnet Diary Set DCPK 527,520.00
210,RC 4 in 1 Cardholder Wooden Diary Set DCPK 530,520.00
211,RC 4 in 1 Elastic Diary with Sport Bottle Set DBKP 503,640.00
213,RC 4 in 1 Flip Cup Keychain Elastic Diary Set DCKP 515,680.00
216,RC 4 in 1 Flip Cup Keychain Magnet Diary Set DCKP 516,760.00
218,RC 4 in 1 Flip Cup Pendrive Elastic Diary Set DCPP 514,1000.00
221,RC 4 in 1 Glass Bottle Crock Diary Set DBKP 510,624.00
222,RC 4 in 1 Glass Cup Glass Bottle Elastic Diary Pen Set DCBP 519,1160.00
223,RC 4 in 1 Wooden Bottle Diary Set DBKP 511,840.00
224,RC 4 in 1 Wooden Glass Bottle Diary Set DBKP 512,680.00
225,RC 4 in 1  Cardholder U Clip Magnet Diary Set DCPK 528,520.00
227,RC Big Square Magnet Diary D 220 Brown Marble,192.00
228,RC Big Square Magnet Diary D 220 Green Marble,192.00
229,RC Big Square Magnet Diary D 220 Yellow Marble,192.00
230,RC Black Half Crock Diary D 213,192.00
235,RC Bottle Travel Pouch Pen Set BTP 401,608.00
237,RC Button Diary D 204,216.00
238,RC Capsule Diary D 215,208.00
250,RC Crock Diary D 212,176.00
253,RC Emboss Magnet Diary D 210,264.00
255,RC Flip Magnet Diary D 206,248.00
